Shadowsphere,TXT_ARTIINVISIBILITY,,,,,Šerosféra,Skyggesfære,Schattensphäre,Σκιόσφαιρα,Ombrosfero,Esfera de sombra,,Varjokehrä,Sphère des Ombres,,Árnygömb,Sfera dell'ombra,闇の球体,그림자 구체,Schaduwbol,Skyggesfære,Sfera Cieni,Esfera das Sombras,,Sfera Umbrei,Теневая сфера,Сфера сенки,Skuggsfär,Gölge Küre,Сфера тіні
Morph Ovum,TXT_ARTIEGG,,,,,Měnivejce,,Transformations-Ei,Μετασχηματίζοντικο Ωάριο,Ovo de transformado,Huevo de transformación,,Muodonmuutoksen muna,Ovule de Métamorphose,,Alakváltó tojás,Uovo della metamorfosi,変貌の卵子,변신 알,Morfose-Ei,,Jajko Morfujące,Ovo da Metamorfose,,Oul Metamorfozei,Яйцо превращения,Преображавајуће јајашце,,Dönüşümlü Yumurta,Яйце трансформації
Mystic Urn,TXT_ARTISUPERHEALTH,,,,,Tajemná urna,Mystisk urne,Mystische Urne,Μυστικό Δοχείο,Mistika urno,Urna mística,,Mystinen uurna,Urne Mystique,,Misztikus urna,Urna mistica,神秘の骨壷,신비한 항아리,Mystieke Urn,Mystisk urne,Mistyczna Urna,Urna Mística,,Urnă Mistică,Мистическая урна,Мистериозна урна,Mystisk urna,Mistik Urn,Містична урна
View bob amount while moving,DSPLYMNU_MOVEBOB,,,,,Pohupování pohledu při pohybu,Vis bob-beløb under bevægelse,Waffenpendeln beim Bewegen,,Ekrana balanciĝo dum moviĝo,La vista tambalea al moverse,,Aseen heilumisvoimakkuus liikkeessä,Chaloupage arme en movement,,Fegyver mozgása lépés közben,Ammontare di bob di movimento,視点揺れする移動値,이동 시 화면 흔들림 강도,Bekijk bob bedrag terwijl je beweegt,Vis bob-beløp mens du beveger deg,Dygaj kiedy się ruszasz,Quantidade de balanço durante movimento,,Mișcare cameră în timpul deplasării,Покачивание камеры при движении,Тресење камере током кретања,Visa bob-mängden under förflyttning,Hareket halindeyken bob miktarını görüntüleme,
View bob amount while not moving,DSPLYMNU_STILLBOB,,,,,Pohupování pohledu v klidu,"Vis bob-beløbet, mens du ikke bevæger dig",Waffenpendeln bei Nichtbewegen,,Ekrana balanciĝo dum halto,La vista tambalea al no moverse,,Aseen heilumisvoimakkuus levossa,Chaloupage arme statique,,Fegyver mozgása egy helyben,Ammontare di bob di movimento da fermo,視点揺れしない移動値,정지 시 화면 움직임 강도,Bekijk bob bedrag terwijl je niet beweegt,Vis bobmengde mens du ikke beveger deg,Dygaj kiedy się nie ruszasz,Quantidade de balanço parado,,Mișcare cameră în timpul staționării,Покачивание камеры при бездействии,Тресење камере током неактивности,Visa bob-mängden när den inte rör sig,Hareket etmiyorken bob miktarını görüntüleme,
Weapon bob speed,DSPLYMNU_BOBSPEED,,,,,Rychlost pohupování zbraně,Våben bob hastighed,Waffenpendelgeschwindigkeit,,Rapido de armila balanciĝo,Velocidad de tambaleo del arma,,Aseen heilumisnopeus,Vitesse du chaloupage,,Fegyver mozgás sebesség,Velocità di bob dell'arma,武器揺れ速度,무기 흔들림 속도,Snelheid wapenzwaaieffect,Våpen bob hastighet,Szybkość ruchu broni,Velocidade de balanço de arma,,Viteză mișcare arme,Скорость покачивания оружия,Брзина трсења оружја,Vapens hastighet,Silah bob hızı,
Sprites & Particles,OPTVAL_SPRITESPARTICLES,,,,,Sprity a částice,Sprites og partikler,Sprites und Partikel,,Mov-rastrumoj kaj partikloj,«Sprites» y partículas,,Spriteinä ja hiukkasina,Sprites & Particules,,Sprite-ok és részecskék,Sprite e particelle,スプライト & パーティクル,스프라이트+입자,Sprites & Deeltjes,Sprites og partikler,Sprite'y i cząstki,Sprites & Partículas,Sprites e Partículas,Sprite-uri & Particule,Спрайты и частицы,Спрајтови и честице,Sprites och partiklar,Sprite'lar ve Parçacıklar,
Adjust sprite clipping,GLPREFMNU_SPRCLIP,,,,,Vyladění clippingu spritů,Juster sprite clipping,Sprite Clipping,,Agordi trairadon de mov-rastrumoj,Ajustar recortado de «sprites»,,Spritejen asettelu,Adjusted le clipping des sprites,,Sprite átlógás igazítása,Aggiusta il clipping degli sprite,スプライトのずらしを調整する,스프라이트 클리핑 조정,Sprite clipping,Juster sprite klipping,Ustaw wcięcie sprite'ów,Ajustar clipping de sprite,,Ajustare poziții sprite-uri,Режим обрезки спрайтов,Подеси спрајт клипинг,Justera sprite clipping,Sprite kırpmayı ayarlama,
Smooth sprite edges,GLPREFMNU_SPRBLEND,,,,,Vyhladit okraje spritů,Udglatte sprite-kanter,Glätte Spritekanten,,Glatigi randojn de mov-rastrumoj,Suavizar bordes de «sprites»,,Pehmeät spritejen reunat,Adoucir bords des sprites,,Sprite szélek simítása,Smussa gli angoli degli sprite,スプライトの角を丸める,부드러운 스프라이트 모서리,Gladde sprite randen,Glatte sprite kanter,Gładkie krawędzie sprite'ów,Suavizar bordas de sprites,,Netezire margini sprite-uri,Размытие краёв спрайтов,Углачати ивице спрајта,Slätar ut sprite-kanter,Düzgün sprite kenarları,
Sprite billboard,GLPREFMNU_SPRBILLBOARD,,,,,Orientace spritů,,Spriteausrichtung,,Liniigi mov-rastrumojn,Alineado de «sprites»,,Spritetaulu,Etalage des sprites,,Sprite alapú reklámtábla,,スプライト ビルボード,스프라이트 샘플링,,,Wyrównanie Sprite'ów,Alinhamento de sprite,,Rotire sprite-uri,Привязка по осям спрайтов,Спрајт билборд,,Sprite reklam panosu,
Sprites face camera,GLPREFMNU_SPRBILLFACECAMERA,,,,,Sprity čelí kameře,Sprites vender mod kameraet,Sprites zur Kamera ausrichten,,Mov-rastrumoj ĉiam rigardas vian kameraon,Los «sprites» miran a la cámara,,Spritet suuntaavat kameraan,Sprites font face à la caméra,,Sprite alapú kamera,Gli sprite sono rivolti alla telecamera.,スプライトのフェイスカメラ,카메라를 향한 스프라이트,Sprites gezicht camera,Sprites vender mot kameraet,Sprite'y skierowane w kamerę,Sprites de frente para a câmera,,Sprite-urile privesc înspre cameră,Спрайты направлены к камере,Спрајт камера фаце,Sprites vänder sig mot kameran,Sprite'lar kamerayla yüzleşir,
Weapon bob amount when firing,DSPLYMNU_BOBFIRE,,,,,Pohupování zbraně při střelbě,Våben bob-beløb ved affyring,Waffenpendeln beim Schießen,,Armila balanciĝo dum pafado,El arma tambalea al disparar,,Aseen heilumisvoimakkuus ammuttaessa,Intensité du chaloupage lors des tirs,,Fegyvermozgás lövésnél,Movimento dell'arma quando si spara,射撃時の武器スイング,사격 시 무기 스윙,Wapenzwaai bij schieten,Våben bob-beløp ved avfyring,Częstotliwość bujania broni przy strzelaniu,Quantidade de balanço ao atirar,,Intensitate mișcare arme în timpul deplasării,Кол-во тряски экрана при стрельбе,,Vapen bob-värde vid skottlossning,Ateşleme sırasında bob miktarını görüntüleme,
View bobbing while flying,MISCMNU_FVIEWBOB,,,,,Pohupování pohledu při létání,Vis bobbing mens du flyver,Waffenpendeln beim Fliegen,,Ekrana balanciĝo dum flugado,La vista tambalea al volar,,,Chaloupage en vol,,Nézet repüléskori billegése,,飛行中の視点揺れ,비행 중 흔들림 보기,Bekijk bob bedrag terwijl je vliegt,Se bobbing mens du flyr,Pokaż bujanie podczas lotu,Balanço na visão durante voo,,Mișcare cameră în timpul zborului,Покачивание камеры при полёте,Погледајте скакање током лета,Visa att det guppar när du flyger,Uçarken sallanmayı görüntüle,
Share keys with all players,GMPLYMNU_SHAREKEYS,,,,,Sdílet klíče se všemi hráči,Del nøgler med alle spillere,Schlüssel mit allen Spielern teilen,,Kunhavigi ŝlosilojn kun ĉiuj ludantoj,Compartir llaves con los demás jugadores,,,Partager les clés avec tous les joueurs,,,Condividere i tasti con tutti i giocatori,全プレイヤーにキーを共有,,Deel toetsen met alle spelers,Del nøkler med alle spillere,Współdziel klucze z innymi graczami,Compartilhar chaves com todos os jogadores,,,Общие ключи игроков,,Dela nycklar med alla spelare,Anahtarları tüm oyuncularla paylaşın,
Use classic HUD scaling,SCALEMNU_HUD_OLDSCALE,hud_oldscale,,,,Pro HUD použít klasické škálování,Brug klassisk HUD-skalering,Klassische HUD-Skalierung,,Uzi klasikan skaladon de HUD,Usar escalado clásico del HUD,,,Utiliser l'échelle classique du HUD,,,Utilizzare la scalatura classica dell'HUD,旧式HUDスケーリングを使う,,Gebruik klassieke HUD-schaling,Bruk klassisk HUD-skalering,Użyj klasycznego skalowania HUD-a,Usar escala clássica do HUD,,,Классическое масштабирование интерфейса,,Använd klassisk HUD-skalning,Klasik HUD ölçeklendirmesini kullanın,
Spawn co-op only things in multiplayer,GMPLYMNU_COOPTHINGS,Any Actor that only appears in co-op is disabled,,,,Co-op věci pouze v multiplayeru,Skab kun co-op-objekter i multiplayer,Erzeuge Nur-Co-op Dinge in Multiplayer,,Nur-kunlabor-reĝimaj agemaj objektoj aperas en plurludula reĝimo,Los obj. interactivos del modo cooperativo salen en el multijugador,,,Faire apparaitre les acteurs Co-Op Seulement en Multijoueur,,,Creare oggetti solo per la cooperativa in multigiocatore,マルチで協力モード限定thingsを出す,,Alleen co-op-voorwerpen maken in multiplayer,Opprett co-op-objekter i flerspillermodus,Wyłącz aktorów trybu kooperacji,Objetos exclusivos do modo cooperativo surgem somente no modo multijogador,,,Появление вещей из совместной игры в сетевой игре,,Skapa co-op-objekt i flerspelarläget,Çok oyunculu modda ortak nesneler oluşturun,
Spawn co-op only pickup items in multiplayer,GMPLYMNU_COOPITEMS,Items that only appear in co-op are disabled,,,,Co-op předměty pouze v multiplayeru,Skab kun co-op-genstande i multiplayer,Erzeuge Nur-Co-op Gegenstände in Multiplayer,,Nur-kunlabor-reĝimaj prenotaĵoj aperas en plurludula reĝimo,Los obj. cogibles del modo cooperativo salen en el multijugador,Los obj. agarrables del modo cooperativo salen en el multijugador,,Faire apparaitre les objets Co-Op Seulement en Multijoueur,,,Creare pickup solo per la cooperativa in multigiocatore,マルチで協力モード限定アイテムを出す,,Alleen co-op pickups maken in multiplayer,Opprett co-op-pickuper i flerspillermodus,Wyłącz przedmioty trybu kooperacji,Itens exclusivos do modo cooperativo surgem somente no modo multijogador,,,Появление подбираемых предметов из совместной игры в сетевой игре,,Skapa co-op pickups i flerspelarläget,Çok oyunculu modda ortak pikaplar oluşturun,
Players pick up their own copy of items in multiplayer,GMPLYMNU_LOCALITEMS,Items are picked up client-side rather than fully taken by the client who picked it up,,,,V multiplayeru hráči sbírají své vlastní kopie předmětů,Spillere samler deres egen kopi af genstande op i multiplayer,Spieler nehmen ihre eigene Kopie von Gegenständen im Mehrspielermodus auf,,Objektoj prenitaj de alia ludanto ne malaperas en plurludula reĝimo,Los obj. cogidos por otro jugador no desaparecen en el multijugador,Los obj. agarrados por otro jugador no desaparecen en el multijugador,,Chaque joueur obtient sa copie de chaque objet en Multijoueur,,,I giocatori raccolgono la propria copia di oggetti in multigiocatore,マルチでプレイヤー達は複製アイテムを拾う,,Spelers pikken hun eigen exemplaar van voorwerpen op in multiplayer,Spillere plukker opp sin egen kopi av gjenstander i flerspiller,Gracze podnoszą swoje przedmioty w trybie wieloosobowym,Jogadores podem pegar suas próprias cópias do item no modo multijogador,,,Игроки подбирают собственные копии предметов в сетевой игре,,Spelare plockar upp sin egen kopia av föremål i flerspelarläget,Oyuncular çok oyunculu modda eşyaların kendi kopyalarını alırlar,
Restart level on Death,MISCMNU_RESTARTONDEATH,Disables autoloading save on death,,,,Restart po umření,Genstart niveau ved død,Level bei Tod neu starten,,Rekomenci nivelon post morto,Reiniciar nivel al morir,,,Recharger après mort,,,Riavvio del livello in caso di morte,リスタート時に死亡する,,Level herstarten bij dood,Start nivået på nytt ved død,Restartuj poziom po śmierci,Reiniciar fase após morte,,,Перезапуск уровня после смерти,,Starta om nivån vid död,Ölüm halinde seviyeyi yeniden başlat,
Pistol Start,GMPLYMNU_PISTOLSTART,Resets inventory on every map,,,,Začít jen s pistolí,Start med pistol,Pistolenstart,,Komenci nivelojn nur kun pistolo,Empezar niveles solo con la pistola,,,Démarrage du pistolet,,,Avvio pistola,ピストルスタート,,Start met pistool,Start med pistol,Start z pistoletem,Iniciar com a pistola,,,Пистолет в начале,,Starta med pistol,Tabanca ile başlayın,
Allow creation of zombie players,CMPTMNU_VOODOOZOMBIES,,,,,Povolit zombie hráče,,Erlaube Zombieplayer,,Permesi kreon de zombiaj ludantoj,Permitir crear jugadores zombificados,,,,,,,ゾンビプレイヤーの生成許可,,,,Pozwól na tworzenie graczy-zombie,Permitir criação de jogadores zumbi,,,Разрешить создание игроков-зомби,,,,
ignore floor z when teleporting,CMPTMNU_FDTELEPORT,,,,,Při teleportu ignorovat výšku podlahy,,Ignoriere Fußbodenhöhe bem Teleportieren,,Ignori altecon de planko dum teleportado,Ignorar altura del suelo al teletransportarse,,,,,,,テレポート時にfloor z値を無視する,,,,Ignoruj wysokość podłogi podczas teleportacji,Ignorar altura do chão ao teletransportar,,,игнорирование диагонали пола (Z) при телепортации,,,,
Forced-Perspective,OPTVAL_ANAMORPHIC,"Hardware Sprite Clipping mode that gives the illusion of a sprite being in a different position than it really is, allowing it to be rendered under the floor despite clipping",,,,Vynucená perspektiva,,Erzwungene Perspektive,,Trompa perspektivo de mov-rastrumoj,Forzar perspectiva de los «sprites»,,,,,,,,,,,,Perspectiva forçada,,,Принудительно перспективный,,,,
You got the incinerator!,ID24_GOTINCINERATOR,,,,,,,Du hast den Verbrenner!,,,,,,,,,,,,,,,Pegou o incinerador!,,,Получен «Испепелитель»!,,,,
You got the calamity blade!  Hot damn!,ID24_GOTCALAMITYBLADE,,,,,,,Du hast das Unheilsschwert!  Verdammt!,,,,,,,,,,,,,,,Pegou a lâmina da calamidade! Caramba!,,,У вас Клинок бед! Сейчас черти попляшут!,,,,
Picked up a fuel can.,ID24_GOTFUELCAN,,,,,,,Benzinkanister genommen.,,,,,,,,,,,,,,,Pegou uma lata de combustível.,,,Получена топливная канистра.,,,,
Picked up a fuel tank.,ID24_GOTFUELTANK,,,,,,,Benzintank genommen.,,,,,,,,,,,,,,,Pegou um tanque de combustível.,,,Получен топливный бак.,,,,
Incinerator,TAG_ID24INCINERATOR,,,,,,,Verbrenner,,,,,,,,,,,,,,,Incinerador,,,«Испепелитель»,,,,
Calamity Blade,TAG_ID24CALAMITYBLADE,,,,,,,Unheilsschwert,,,,,,,,,,,,,,,Lâmina da Calamidade,,,Клинок бед,,,,
Fuel Can,AMMO_ID24FUEL,,,,,,,Benzinkanister,,,,,,,,,,,,,,,Lata de Combustível,,,Топливная канистра,,,,
Fuel Tank,AMMO_ID24FUELTANK,,,,,,,Benzintank,,,,,,,,,,,,,,,Tanque de Combustível,,,Топливный бак,,,,
Rocket Explosion Style,DSPLYMNU_ROCKETEXPSTYLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Translucent,OPTVAL_ROCKETEXP_STYLE_TRANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additive,OPTVAL_ROCKETEXP_STYLE_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerup Fade Intensity,DSPLYMNU_POWERUPFADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footstep Volume,SNDMNU_FOOTSTEPVOLUME,,,,,,Hlasitost kroků,,Schrittlautstärke,,Laŭteco de paŝo,Volumen de los pasos,,,,,,,足音の音量,,,,,Volume dos passos,,Volum pași,Громкость шагов,,,,Гучність кроків
